,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v,Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8
1088,Law,Law and German,TR019,543,,542,,542,,566,8,Trinity College Dublin,,,,,,,,,,,
1089,Law,Law and Political Science,TR020,602,,,,601,*,613,8,Trinity College Dublin,,,,,,,,,,,
1090,Humanities (except languages),"Classics, Ancient History and Archaeology",TR021,370,,,,370,,434,8,Trinity College Dublin,,,,,,,,,,,
1091,Languages,Early and Modern Irish,TR022,398,,,,398,,451,8,Trinity College Dublin,,,,,,,,,,,
1092,Languages,English Studies,TR023,487,,476,,474,,511,8,Trinity College Dublin,,,,,,,,,,,
1093,Humanities (except languages),European Studies,TR024,544,,542,,530,,566,8,Trinity College Dublin,,,,,,,,,,,
1094,Arts,Drama and Theatre Studies,TR025,564,,530,,530,,581,8,Trinity College Dublin,#,,,,,,,,,,
1095,Humanities (except languages),Ancient and Medieval History and Culture,TR028,342,,,,342,,453,8,Trinity College Dublin,,,,,,,,,,,
1096,Social and behavioural sciences,Political Science and Geography,TR029,526,,520,,510,,533,8,Trinity College Dublin,,,,,,,,,,,
1097,Mathematics and statistics,Mathematics,TR031,531,,,,531,,589,8,Trinity College Dublin,,,,,,,,,,,
1098,Engineering and engineering trades,Engineering,TR032,510,,509,*,508,,533,8,Trinity College Dublin,,,,,,,,,,,
1099,Information and Communication Technologies (ICTs),Computer Science,TR033,509,,,,509,,545,8,Trinity College Dublin,,,,,,,,,,,
1100,Business and administration,Management Science and Information Systems Studies,TR034,613,*,,,613,*,625,8,Trinity College Dublin,,,,,,,,,,,
1101,Physical sciences,Theoretical Physics,TR035,543,,,,543,,601,8,Trinity College Dublin,,,,,,,,,,,
1102,Engineering and engineering trades,Engineering with Management,TR038,532,,,,532,,556,8,Trinity College Dublin,,,,,,,,,,,
1103,Information and Communication Technologies (ICTs),Computer Science and Language,TR039,454,,424,,424,,488,8,Trinity College Dublin,,,,,,,,,,,
1104,Languages,Middle Eastern and European Languages and Cultures,TR040,466,,,,466,,521,8,Trinity College Dublin,,,,,,,,,,,
1105,Humanities (except languages),Religion,TR041,368,,,,368,,418,8,Trinity College Dublin,,,,,,,,,,,
1106,Arts,Film,TR042,489,,476,,466,,498,8,Trinity College Dublin,,,,,,,,,,,
1107,Humanities (except languages),History of Art and Architecture,TR043,393,,354,,354,,474,8,Trinity College Dublin,,,,,,,,,,,
1108,Health,Medicine (HPAT required),TR051,735,*,734,*,734,,745,8,Trinity College Dublin,#,,,,,,,,,,
1109,Health,Dental Science,TR052,613,*,613,*,613,*,625,8,Trinity College Dublin,,,,,,,,,,,
1110,Health,Physiotherapy,TR053,566,*,566,*,566,*,567,8,Trinity College Dublin,,,,,,,,,,,
1111,Health,Occupational Therapy,TR054,533,,,,533,,554,8,Trinity College Dublin,,,,,,,,,,,
1112,Health,Radiation Therapy,TR055,543,,,,543,,554,8,Trinity College Dublin,,,,,,,,,,,
1113,Health,Human Health and Disease,TR056,565,,,,564,,578,8,Trinity College Dublin,,,,,,,,,,,
1114,Biological and related sciences,Biological and Biomedical Sciences,TR060,543,*,543,,543,,566,8,Trinity College Dublin,,,,,,,,,,,
1115,Physical sciences,Chemical Sciences,TR061,517,,510,,510,,532,8,Trinity College Dublin,,,,,,,,,,,
1116,Physical sciences,Geography and Geoscience,TR062,473,,,,473,,499,8,Trinity College Dublin,,,,,,,,,,,
1117,Physical sciences,Physical Sciences,TR063,498,*,498,,477,*,531,8,Trinity College Dublin,,,,,,,,,,,
1118,Health,Pharmacy,TR072,590,,,,590,,613,8,Trinity College Dublin,,,,,,,,,,,
1119,Business and administration,Global Business,TR080,589,*,,,589,*,601,8,Trinity College Dublin,,,,,,,,,,,
1120,Social and behavioural sciences,"Business, Economic and Social Studies (BESS)",TR081,543,*,543,*,543,*,565,8,Trinity College Dublin,,,,,,,,,,,
1121,Business and administration,Computer Science and Business,TR082,555,,,,555,,578,8,Trinity College Dublin,,,,,,,,,,,
1122,Social and behavioural sciences,Sociology and Social Policy,TR083,498,,487,,478,,513,8,Trinity College Dublin,,,,,,,,,,,
1123,Welfare,Social Studies (Social Work),TR084,462,*,,,462,*,495,8,Trinity College Dublin,,,,,,,,,,,
1124,Business and administration,Business Studies and French,TR085,540,,531,,521,*,543,8,Trinity College Dublin,,,,,,,,,,,
1125,Business and administration,Business Studies and German,TR086,509,,499,*,499,,518,8,Trinity College Dublin,,,,,,,,,,,
1126,Business and administration,Business Studies and Russian,TR087,474,,465,,456,*,488,8,Trinity College Dublin,,,,,,,,,,,
1127,Business and administration,Business Studies and Polish,TR089,444,,424,,424,,468,8,Trinity College Dublin,,,,,,,,,,,
1128,Business and administration,Business Studies and Spanish,TR090,531,*,,,531,*,542,8,Trinity College Dublin,,,,,,,,,,,
1129,Health,General Nursing (Meath and St James`s),TR091,429,,,,429,,455,8,Trinity College Dublin,,,,,,,,,,,
1130,Health,General Nursing (Adelaide School of Nursing),TR093,430,,429,,414,,441,8,Trinity College Dublin,#,,,,,,,,,,
1131,Health,Mental Health Nursing,TR095,408,,,,408,,430,8,Trinity College Dublin,,,,,,,,,,,
1132,Health,Intellectual Disability Nursing,TR097,396,,,,378,,398,8,Trinity College Dublin,,,,,,,,,,,
1133,Arts,Ancient History and Archaeology/Geography,TR111,352,,,,352,,429,8,Trinity College Dublin,,,,,,,,,,,
1134,Arts,Ancient History and Archaeology/History,TR112,529,,,,529,,,8,Trinity College Dublin,,,,,,,,,,,
1135,Arts,Ancient History and Archaeology/History of Art and Architecture,TR113,337,,,,337,,477,8,Trinity College Dublin,,,,,,,,,,,
1136,Arts,Ancient History and Archaeology/Modern Language,TR114,337,,,,337,,420,8,Trinity College Dublin,,,,,,,,,,,
1137,Arts,Ancient History and Archaeology/Religion,TR117,342,,,,342,,368,8,Trinity College Dublin,,,,,,,,,,,
1138,Arts,Classical Civilisation/English Literature,TR166,498,*,496,,496,,523,8,Trinity College Dublin,,,,,,,,,,,
1139,Arts,Classical Civilisation/History of Art and Architecture,TR173,335,,,,335,,466,8,Trinity College Dublin,,,,,,,,,,,
1140,Arts,Classical Civilisation/Modern Language,TR177,335,,,,335,,536,8,Trinity College Dublin,,,,,,,,,,,
1141,Arts,Classical Civilisation/Philosophy,TR179,499,,,,479,,518,8,Trinity College Dublin,,,,,,,,,,,
1142,Arts,Economics/Geography,TR198,534,,,,534,,552,8,Trinity College Dublin,,,,,,,,,,,
1143,Arts,Economics/History,TR202,534,,,,534,,566,8,Trinity College Dublin,,,,,,,,,,,
1144,Arts,Economics/Mathematics,TR207,566,*,,,566,*,601,8,Trinity College Dublin,,,,,,,,,,,
1145,Arts,Economics/Modern Language,TR208,534,,,,534,,578,8,Trinity College Dublin,,,,,,,,,,,
1146,Arts,Economics/Philosophy,TR209,534,,,,534,,576,8,Trinity College Dublin,,,,,,,,,,,
1147,Arts,Economics/Sociology,TR212,534,,,,534,,541,8,Trinity College Dublin,,,,,,,,,,,
1148,Interdisciplinary programmes and qualifications involving arts and humanities,Classical Languages/English Literature,TR228,498,*,,,498,*,533,8,Trinity College Dublin,,,,,,,,,,,
1149,Interdisciplinary programmes and qualifications involving arts and humanities,Classical Languages/History of Art and Architecture,TR231,349,,,,349,,444,8,Trinity College Dublin,,,,,,,,,,,
1150,Interdisciplinary programmes and qualifications involving arts and humanities,"Classical Languages/Middle Eastern,Jewish and Islamic Civilisations",TR233,349,,,,349,,566,8,Trinity College Dublin,,,,,,,,,,,
1151,Arts,Classical Languages/Modern Language,TR239,349,,,,349,,349,8,Trinity College Dublin,,,,,,,,,,,
1152,Arts,English Literature/History,TR262,529,,,,529,,552,8,Trinity College Dublin,,,,,,,,,,,
1153,Arts,English Literature/History of Art and Architecture,TR263,498,*,497,,497,,533,8,Trinity College Dublin,,,,,,,,,,,
1154,Arts,English Literature/Philosophy,TR269,499,,,,495,,532,8,Trinity College Dublin,,,,,,,,,,,
1155,Arts,English Literature/Sociology,TR272,498,*,,,498,*,519,8,Trinity College Dublin,,,,,,,,,,,
1156,Arts,English Literature/Drama Studies,TR276,#498,,,,#476,,530,8,Trinity College Dublin,#,,,,,,,,,,
1157,Arts,English Literature/Modern Language,TR277,498,*,495,,489,*,543,8,Trinity College Dublin,,,,,,,,,,,
1158,Arts,Film/Drama Studies,TR311,#521,*,,,#521,*,557,8,Trinity College Dublin,#,,,,,,,,,,
1159,Arts,Film/English Literature,TR312,521,*,,,521,*,541,8,Trinity College Dublin,,,,,,,,,,,
1160,Arts,Film/Music,TR320,521,*,,,521,*,555,8,Trinity College Dublin,#,,,,,,,,,,
1161,Arts,Geography/History,TR322,529,,,,529,,555,8,Trinity College Dublin,,,,,,,,,,,
1162,Arts,Drama Studies/Modern Language,TR323,#473,,,,#473,,551,8,Trinity College Dublin,#,,,,,,,,,,
1163,Arts,Film/Modern Language,TR324,521,*,,,521,*,544,8,Trinity College Dublin,,,,,,,,,,,
1164,Arts,Film/History,TR325,529,,,,529,,625,8,Trinity College Dublin,,,,,,,,,,,
1165,Arts,Geography/Modern Language,TR326,352,,,,352,,440,8,Trinity College Dublin,,,,,,,,,,,
1166,Arts,Geography/Sociology,TR332,498,*,496,,496,,520,8,Trinity College Dublin,,,,,,,,,,,
1167,Arts,History/History of Art and Architecture,TR443,529,,,,529,,532,8,Trinity College Dublin,,,,,,,,,,,
1168,Arts,History/Modern Language,TR447,529,,,,529,,554,8,Trinity College Dublin,,,,,,,,,,,
1169,Arts,History/Philosophy,TR449,529,,,,529,,543,8,Trinity College Dublin,,,,,,,,,,,
1170,Arts,History/Sociology,TR452,529,,,,529,,534,8,Trinity College Dublin,,,,,,,,,,,
1171,Arts,History/Religion,TR454,529,,,,529,,534,8,Trinity College Dublin,,,,,,,,,,,
1172,Arts,History of Art and Architecture/Modern Language,TR455,334,,,,334,,454,8,Trinity College Dublin,,,,,,,,,,,
1173,Arts,History of Art and Architecture/Philosophy,TR479,499,,,,485,,555,8,Trinity College Dublin,,,,,,,,,,,
1174,Arts,"Middle Eastern,Jewish and Islamic Civ./Ancient History and Archaeology",TR547,337,,,,337,,473,8,Trinity College Dublin,,,,,,,,,,,
1175,Arts,"Middle Eastern,Jewish and Islamic Civilisations/Classical Civilisation",TR548,335,,,,335,,543,8,Trinity College Dublin,,,,,,,,,,,
1176,Arts,"Middle Eastern,Jewish and Islamic Civilisations/History",TR554,529,,,,529,,555,8,Trinity College Dublin,,,,,,,,,,,
1177,Arts,"Middle Eastern,Jewish and Islamic Civilisations/Modern Language",TR563,335,,,,335,,451,8,Trinity College Dublin,,,,,,,,,,,
1178,Arts,"Middle Eastern,Jewish and Islamic Civilisations/Music",TR564,,,,,,,,8,Trinity College Dublin,#,,,,,,,,,,
1179,Arts,"Middle Eastern,Jewish and Islamic Civilisations/Religion",TR565,342,,,,342,,,8,Trinity College Dublin,,,,,,,,,,,
1180,Arts,Mathematics/Modern Language,TR597,566,*,,,566,*,625,8,Trinity College Dublin,,,,,,,,,,,
1181,Arts,Mathematics/Music,TR598,566,*,,,566,*,,8,Trinity College Dublin,#,,,,,,,,,,
1182,Arts,Mathematics/Philosophy,TR599,566,*,,,566,*,589,8,Trinity College Dublin,,,,,,,,,,,
1183,Arts,Music/Philosophy,TR629,499,,,,499,,,8,Trinity College Dublin,#,,,,,,,,,,
1184,Arts,Music/Drama Studies,TR635,#473,,,,#473,,487,8,Trinity College Dublin,#,,,,,,,,,,
1185,Arts,Music/Modern Language,TR636,388,,,,388,,455,8,Trinity College Dublin,#,,,,,,,,,,
1186,Arts,Music/Religion,TR638,388,,,,388,,440,8,Trinity College Dublin,#,,,,,,,,,,
1187,Arts,Philosophy/Modern Language,TR639,499,,,,499,,613,8,Trinity College Dublin,,,,,,,,,,,
1188,Arts,Philosophy/Sociology,TR662,499,,,,499,,531,8,Trinity College Dublin,,,,,,,,,,,
1189,Arts,Religion/Classical Civilisation,TR663,342,,,,342,,591,8,Trinity College Dublin,,,,,,,,,,,
1190,Arts,Religion/English Literature,TR664,498,*,,,498,*,565,8,Trinity College Dublin,,,,,,,,,,,
1191,Arts,Religion/History of Art and Architecture,TR665,342,,,,342,,452,8,Trinity College Dublin,,,,,,,,,,,
1192,Arts,Religion/Modern Language,TR666,,,,,,,,8,Trinity College Dublin,,,,,,,,,,,
1193,Arts,French/Modern Language,TR667,403,,,,403,,478,8,Trinity College Dublin,,,,,,,,,,,
1194,Arts,German/Modern Language,TR668,389,,,,389,,465,8,Trinity College Dublin,,,,,,,,,,,
1195,Arts,Irish/Modern Language,TR669,368,,,,368,,473,8,Trinity College Dublin,,,,,,,,,,,
1196,Arts,Italian/Modern Language,TR670,381,,,,381,,466,8,Trinity College Dublin,,,,,,,,,,,
1197,Arts,Russian/Modern Language,TR671,332,,,,332,,494,8,Trinity College Dublin,,,,,,,,,,,
1198,Arts,Spanish/Modern Language,TR672,336,,,,336,,488,8,Trinity College Dublin,,,,,,,,,,,
1199,Arts,Sociology/Drama Studies,TR755,#498,,,,#498,,543,8,Trinity College Dublin,#,,,,,,,,,,
1200,Arts,Sociology/Modern Language,TR756,498,,495,,495,,510,8,Trinity College Dublin,,,,,,,,,,,
1201,Health,Dental Nursing,TR801,436,,419,,367,,455,7,Trinity College Dublin,,,,,,,,,,,
1202,Health,Dental Hygiene,TR802,#543,,#511,,#498,,532,7,Trinity College Dublin,#,,,,,,,,,,
1203,Health,Dental Technology,TR803,#531,,#486,,#359,,456,7,Trinity College Dublin,#,,,,,,,,,,
1204,Health,Children`s and General Nursing (Integrated),TR911,511,,510,,499,*,521,8,Trinity College Dublin,,,,,,,,,,,
1205,Health,Midwifery,TR913,478,,477,*,473,*,508,8,Trinity College Dublin,,,,,,,,,,,
1206,Engineering and engineering trades,Electronic Engineering,TU601,232,,,,230,,326,6,Technological University Dublin,,avp,,,,,,,,,
1207,Engineering and engineering trades,Computer Engineering,TU602,223,,,,223,,330,6,Technological University Dublin,,,,,,,,,,,
1208,Engineering and engineering trades,Mechanical Engineering,TU603,197,,197,,197,,299,6,Technological University Dublin,,avp,,,,,,,,,
1209,Personal services,Bar and Restaurant Management,TU641,223,,,,223,,356,6,Technological University Dublin,,,,,,,,,,,
1210,Personal services,Culinary Arts,TU642,153,,,,153,,244,6,Technological University Dublin,,avp,,,,,,,,,
1211,Personal services,Culinary Arts (Professional Cookery Practice),TU643,236,,,,236,,383,6,Technological University Dublin,,,,,,,,,,,
1212,Personal services,Food Management and Entrepreneurship,TU644,223,,,,223,,456,6,Technological University Dublin,,,,,,,,,,,
1213,Manufacturing and processing,Food Science and Management,TU645,241,,,,243,,390,6,Technological University Dublin,,,,,,,,,,,
1214,Biological and related sciences,Applied Biology,TU651,205,,196,,196,,359,6,Technological University Dublin,,avp,,,,,,,,,
1215,Information and Communication Technologies (ICTs),Computing,TU652,194,,,,194,,265,6,Technological University Dublin,,,,,,,,,,,
1216,Information and Communication Technologies (ICTs),Computing (Information Technology),TU653,245,,,,245,,357,6,Technological University Dublin,,,,,,,,,,,
1217,Health,Pharmacy Technician Studies,TU654,321,,,,321,,420,6,Technological University Dublin,,,,,,,,,,,
1218,Information and Communication Technologies (ICTs),Computing (Networking Technologies) Learn and Work,TU655,410,,335,,335,,459,6,Technological University Dublin,#,avp,,,,,,,,,
1219,Business and administration,Business,TU671,226,,,,228,,403,6,Technological University Dublin,,,,,,,,,,,
1220,Business and administration,Business (Common entry),TU672,180,,179,,179,,274,6,Technological University Dublin,,avp,,,,,,,,,
1221,Business and administration,Business Management,TU673,300,,,,300,,451,6,Technological University Dublin,,,,,,,,,,,
1222,Business and administration,Business Studies,TU674,300,,,,306,,451,6,Technological University Dublin,,,,,,,,,,,
1223,Business and administration,Marketing,TU675,301,,,,301,,412,6,Technological University Dublin,,,,,,,,,,,
1224,Business and administration,Retail Management and Marketing,TU676,290,,,,290,,377,6,Technological University Dublin,,,,,,,,,,,
1225,Engineering and engineering trades,Automation Engineering,TU701,260,,,,261,,368,7,Technological University Dublin,,,,,,,,,,,
1226,Engineering and engineering trades,Biomedical Design,TU702,232,,232,,232,,351,7,Technological University Dublin,,avp,,,,,,,,,
1227,Engineering and engineering trades,Building Engineering,TU703,260,,,,260,,359,7,Technological University Dublin,,,,,,,,,,,
1228,Architecture and construction,Civil Engineering,TU704,262,,,,262,,361,7,Technological University Dublin,,,,,,,,,,,
1229,Engineering and engineering trades,Electrical and Control Engineering,TU705,243,,,,243,,339,7,Technological University Dublin,,,,,,,,,,,
1230,Engineering and engineering trades,Electrical Services Engineering,TU706,244,,,,244,,307,7,Technological University Dublin,,,,,,,,,,,
1231,Engineering and engineering trades,Electronic Engineering,TU707,224,,224,,224,,361,7,Technological University Dublin,,avp,,,,,,,,,
1232,Engineering and engineering trades,Engineering (Common Entry with Award options),TU708,225,,,,225,,360,7,Technological University Dublin,,,,,,,,,,,
1233,Engineering and engineering trades,Engineering (General Entry),TU709,370,,,,370,,487,7,Technological University Dublin,,,,,,,,,,,
1234,Engineering and engineering trades,Engineering Reliability Management,TU710,244,,,,244,,305,7,Technological University Dublin,,,,,,,,,,,
1235,Engineering and engineering trades,Mechatronic Engineering,TU711,223,,,,223,,372,7,Technological University Dublin,,,,,,,,,,,
1236,Engineering and engineering trades,Sustainable Energy and Environmental Engineering,TU712,180,,180,,180,,332,7,Technological University Dublin,,avp,,,,,,,,,
1237,Engineering and engineering trades,Computer Engineering,TU713,221,,,,221,,322,7,Technological University Dublin,,,,,,,,,,,
1238,Engineering and engineering trades,Electronics and Communications Engineering,TU714,264,,,,264,,392,7,Technological University Dublin,,,,,,,,,,,
1239,Engineering and engineering trades,Engineering Software,TU715,181,,181,,181,,391,7,Technological University Dublin,,avp,,,,,,,,,
1240,Engineering and engineering trades,Networking Technology,TU716,241,,,,241,,386,7,Technological University Dublin,,,,,,,,,,,
1241,Engineering and engineering trades,Mechanical Engineering,TU717,300,,,,300,,367,7,Technological University Dublin,,,,,,,,,,,
1242,Engineering and engineering trades,Mechanical Engineering,TU718,198,,198,,198,,338,7,Technological University Dublin,,avp,,,,,,,,,
1243,Manufacturing and processing,"Design,Technology and Innovation",TU719,228,,,,228,,363,7,Technological University Dublin,,,,,,,,,,,
1244,Engineering and engineering trades,Automotive Management and Technology,TU720,232,,,,232,,338,7,Technological University Dublin,,,,,,,,,,,
1245,Engineering and engineering trades,Aviation Technology,TU721,350,,,,352,,434,7,Technological University Dublin,,,,,,,,,,,
1246,Manufacturing and processing,Process Instrumentation and Automation Learn and Work,TU722,292,,292,,401,,499,7,Technological University Dublin,#,avp,v,,,,,,,,
1247,Business and administration,"Auctioneering, Valuation and Estate Agency",TU731,290,,,,290,,372,7,Technological University Dublin,,,,,,,,,,,
1248,Manufacturing and processing,Timber Product Technology,TU732,253,,198,,198,,372,7,Technological University Dublin,,avp,,,,,,,,,
1249,Personal services,Sports Management and Coaching,TU735,270,,,,270,,347,7,Technological University Dublin,,,,,,,,,,,
1250,Biological and related sciences,Sports Science and Health,TU736,410,,391,,391,,455,7,Technological University Dublin,,,,,,,,,,,
1251,Personal services,Baking and Pastry Arts Management,TU741,234,,,,238,,412,7,Technological University Dublin,,,,,,,,,,,
1252,Personal services,Culinary Arts,TU742,155,,155,,155,,319,7,Technological University Dublin,,avp,,,,,,,,,
1253,Personal services,Hospitality Management,TU745,245,,,,245,,357,7,Technological University Dublin,,,,,,,,,,,
1254,Personal services,International Hospitality and Tourism Management,TU746,170,,170,,170,,313,7,Technological University Dublin,,avp,,,,,,,,,
1255,Personal services,Tourism Management,TU747,242,,,,242,,369,7,Technological University Dublin,,,,,,,,,,,
1256,Biological and related sciences,Biosciences,TU751,407,,,,407,,509,7,Technological University Dublin,,,,,,,,,,,
1257,Biological and related sciences,DNA and Forensic Analysis,TU752,390,,,,390,,465,7,Technological University Dublin,,,,,,,,,,,
1258,Physical sciences,Industrial and Environmental Physics,TU754,270,,,,270,,487,7,Technological University Dublin,,,,,,,,,,,
1259,Physical sciences,Science (General Entry),TU755,361,,,,361,,498,7,Technological University Dublin,,,,,,,,,,,
1260,Information and Communication Technologies (ICTs),Computing,TU756,200,,195,,195,,357,7,Technological University Dublin,,avp,,,,,,,,,
1261,Information and Communication Technologies (ICTs),Computing (Information Technology),TU757,225,,,,225,,352,7,Technological University Dublin,,,,,,,,,,,
1262,Information and Communication Technologies (ICTs),Digital Forensics and Cyber Security,TU758,220,,,,220,,337,7,Technological University Dublin,,,,,,,,,,,
1263,Information and Communication Technologies (ICTs),Information Technology Management,TU759,211,,,,211,,330,7,Technological University Dublin,,,,,,,,,,,
1264,Biological and related sciences,Bioanalysis,TU760,204,,204,,204,,327,7,Technological University Dublin,,avp,,,,,,,,,
1265,Health,Ophthalmic Dispensing,TU761,302,,,,319,,434,7,Technological University Dublin,,,,,,,,,,,
1266,Physical sciences,Medicinal Chemistry and Pharmaceutical Sciences,TU762,364,,,,364,,510,7,Technological University Dublin,,,,,,,,,,,
1267,Biological and related sciences,Pharmaceutical Science,TU763,382,,349,,349,,429,7,Technological University Dublin,,,,,,,,,,,
1268,Business and administration,Business,TU771,224,,,,224,,392,7,Technological University Dublin,,,,,,,,,,,
1269,Business and administration,Business (Common Entry with Award options),TU772,AQA,,227,,AQA,,317,7,Technological University Dublin,,avp,,,,,,,,,
1270,Business and administration,Management,TU774,195,,209,,195,,327,7,Technological University Dublin,,avp,,,,,,,,,
1271,Business and administration,Accounting and Finance,TU775,260,,,,260,,465,7,Technological University Dublin,,,,,,,,,,,
1272,Business and administration,Accounting and Finance,TU776,182,,175,,175,,337,7,Technological University Dublin,,avp,,,,,,,,,
1273,Business and administration,Business and Information Technology,TU777,244,,,,244,,352,7,Technological University Dublin,,,,,,,,,,,
1274,Business and administration,International Business,TU778,224,,,,226,,423,7,Technological University Dublin,,,,,,,,,,,
1275,Business and administration,International Business,TU779,180,,180,,180,,368,7,Technological University Dublin,,avp,,,,,,,,,
1276,Business and administration,Advertising and Marketing Communications,TU780,179,,179,,179,,366,7,Technological University Dublin,,avp,,,,,,,,,
1277,Business and administration,Digital Marketing,TU781,220,,,,220,,326,7,Technological University Dublin,,,,,,,,,,,
1278,Business and administration,Digital Marketing,TU782,179,,179,,179,,287,7,Technological University Dublin,,avp,,,,,,,,,
1279,Business and administration,Marketing,TU783,189,,189,,189,,360,7,Technological University Dublin,,avp,,,,,,,,,
1280,Welfare,Applied Social Studies in Social Care,TU791,320,,,,320,,378,7,Technological University Dublin,,,,,,,,,,,
1281,Social and behavioural sciences,Community and Youth Development,TU792,101,,250,,101,,288,7,Technological University Dublin,,avp,,,,,,,,,
1282,Welfare,Early Childhood Care and Education,TU793,220,,,,220,,386,7,Technological University Dublin,,,,,,,,,,,
1283,Welfare,Early Childhood Care and Education,TU794,390,,250,,230,,376,7,Technological University Dublin,,,,,,,,,,,
1284,Arts,Visual Merchandising and Display,TU795,481,,,,481,,763,7,Technological University Dublin,#,,,,,,,,,,
1285,Arts,Creative Digital Media,TU796,225,,,,225,,383,7,Technological University Dublin,,,,,,,,,,,
1286,Engineering and engineering trades,Biomedical Design,TU801,235,,,,235,,381,8,Technological University Dublin,,avp,,,,,,,,,
1287,Engineering and engineering trades,Electrical Services and Energy Management,TU802,317,,300,,300,,352,8,Technological University Dublin,,,,,,,,,,,
1288,Engineering and engineering trades,Electronic Engineering,TU803,243,,243,,243,,337,8,Technological University Dublin,,avp,,,,,,,,,
1289,Engineering and engineering trades,Engineering (Common Entry with Award options),TU804,271,,,,271,,338,8,Technological University Dublin,,,,,,,,,,,
1290,Engineering and engineering trades,Engineering (General Entry),TU805,402,,,,402,,466,8,Technological University Dublin,,,,,,,,,,,
1291,Engineering and engineering trades,Sustainable Energy Engineering,TU806,262,,,,262,,318,8,Technological University Dublin,,avp,,,,,,,,,
1292,Engineering and engineering trades,Computer Engineering in Mobile Systems,TU807,276,,,,276,,305,8,Technological University Dublin,,,,,,,,,,,
1293,Engineering and engineering trades,Engineering Software,TU808,260,,260,,260,,339,8,Technological University Dublin,,avp,,,,,,,,,
1294,Engineering and engineering trades,Mechanical Engineering,TU809,235,,,,235,,347,8,Technological University Dublin,,avp,,,,,,,,,
1295,Engineering and engineering trades,Mechatronic Engineering,TU810,270,,,,271,,312,8,Technological University Dublin,,,,,,,,,,,
1296,Arts,Product Design,TU811,411,,,,411,,444,8,Technological University Dublin,,,,,,,,,,,
1297,Manufacturing and processing,"Design,Technology and Innovation",TU812,270,,,,270,,350,8,Technological University Dublin,,,,,,,,,,,
1298,Engineering and engineering trades,Automation Engineering,TU813,218,,218,,218,,339,8,Technological University Dublin,,avp,,,,,,,,,
1299,Transport services,Transport Operations and Technology,TU814,285,,251,,251,,372,8,Technological University Dublin,,avp,,,,,,,,,
1300,Architecture and construction,Architectural Technology,TU831,410,,,,410,,444,8,Technological University Dublin,,,,,,,,,,,
1301,Architecture and construction,Architecture (Suitability Test and Interview),TU832,622,,,,622,,658,8,Technological University Dublin,#,,,,,,,,,,
1302,Architecture and construction,Construction Management,TU833,367,,,,367,,404,8,Technological University Dublin,,,,,,,,,,,
1303,Architecture and construction,Geographic Science,TU834,288,,,,288,,357,8,Technological University Dublin,,,,,,,,,,,
1304,Architecture and construction,Planning and Environmental Management,TU835,313,,,,313,,349,8,Technological University Dublin,,,,,,,,,,,
1305,Architecture and construction,Property Economics (Valuation Surveying),TU836,401,,,,401,,433,8,Technological University Dublin,,,,,,,,,,,
1306,Architecture and construction,Quantity Surveying and Construction Economics,TU837,385,,,,385,,418,8,Technological University Dublin,,,,,,,,,,,
1307,Environment,Analytical Chemistry (Environmental Forensic and Pharmaceutical),TU851,349,,,,349,,419,8,Technological University Dublin,,,,,,,,,,,
1308,Physical sciences,Chemical Sciences with Medicinal Chemistry,TU852,476,,,,476,,498,8,Technological University Dublin,,,,,,,,,,,
1309,Biological and related sciences,Science (General Entry),TU854,476,,,,476,,495,8,Technological University Dublin,,,,,,,,,,,
1310,Physical sciences,Science with Nanotechnology,TU855,331,,319,,319,,368,8,Technological University Dublin,,,,,,,,,,,
1311,Information and Communication Technologies (ICTs),Computer Science,TU856,476,,,,476,,487,8,Technological University Dublin,,,,,,,,,,,
1312,Information and Communication Technologies (ICTs),Computer Science (Infrastructure),TU857,391,,,,391,,419,8,Technological University Dublin,,,,,,,,,,,
1313,Information and Communication Technologies (ICTs),Computer Science (International),TU858,377,,,,377,,424,8,Technological University Dublin,,,,,,,,,,,
1314,Information and Communication Technologies (ICTs),Computing,TU859,217,,234,,217,,308,8,Technological University Dublin,,avp,,,,,,,,,
1315,Information and Communication Technologies (ICTs),Computing (Information Technology),TU860,260,,,,260,,329,8,Technological University Dublin,,,,,,,,,,,
1316,Information and Communication Technologies (ICTs),Computing with Language (French/German/Spanish),TU861,308,,308,,308,,348,8,Technological University Dublin,,avp,,,,,,,,,
1317,Information and Communication Technologies (ICTs),Computing with Data Analytics,TU862,226,,226,,226,,288,8,Technological University Dublin,,avp,,,,,,,,,
1318,Information and Communication Technologies (ICTs),Digital Forensics and Cyber Security,TU863,280,,,,280,,338,8,Technological University Dublin,,,,,,,,,,,
1319,Biological and related sciences,DNA and Forensic Analysis,TU864,400,,390,,390,,429,8,Technological University Dublin,,,,,,,,,,,
1320,Information and Communication Technologies (ICTs),Computing with IT Management,TU865,226,,,,226,,331,8,Technological University Dublin,,,,,,,,,,,
1321,Health,Biomedical and Molecular Diagnostics,TU866,487,,,,487,,498,8,Technological University Dublin,,,,,,,,,,,
1322,Health,Biomedical Science,TU867,524,,,,524,,542,8,Technological University Dublin,,,,,,,,,,,
